Region,Date,Highest-priced hour,Lowest-priced hour
NSW,2016-12-20,22,2
NSW,2016-12-21,15,3
NSW,2016-12-22,22,4
NSW,2016-12-23,22,1
NSW,2016-12-24,13,3
NSW,2016-12-25,22,4
NSW,2016-12-26,22,4
NSW,2016-12-27,16,2
NSW,2016-12-28,16,4
NSW,2016-12-29,16,3
NSW,2016-12-30,15,5
NSW,2016-12-31,12,13
NSW,2017-01-01,0,7
NSW,2017-01-02,18,1
NSW,2017-01-03,19,3
NSW,2017-01-04,15,4
NSW,2017-01-05,16,5
NSW,2017-01-06,16,5
NSW,2017-01-07,17,5
NSW,2017-01-08,17,5
NSW,2017-01-09,15,2
NSW,2017-01-10,15,4
NSW,2017-01-11,15,2
NSW,2017-01-12,15,2
NSW,2017-01-13,16,2
NSW,2017-01-14,15,6
NSW,2017-01-15,10,6
NSW,2017-01-16,16,3
NSW,2017-01-17,15,1
NSW,2017-01-18,14,21
NSW,2017-01-19,10,2
NSW,2017-01-20,10,4
NSW,2017-01-21,10,3
NSW,2017-01-22,17,3
NSW,2017-01-23,16,23
NSW,2017-01-24,15,3
NSW,2017-01-25,9,21
NSW,2017-01-26,10,3
NSW,2017-01-27,15,1
NSW,2017-01-28,16,5
NSW,2017-01-29,14,1
NSW,2017-01-30,16,3
NSW,2017-01-31,9,23
NSW,2017-02-01,13,0
NSW,2017-02-02,15,1
NSW,2017-02-03,6,3
NSW,2017-02-04,16,2
NSW,2017-02-05,19,5
NSW,2017-02-06,16,3
NSW,2017-02-07,7,21
NSW,2017-02-08,16,1
NSW,2017-02-09,16,1
NSW,2017-02-10,17,0
NSW,2017-02-11,16,5
NSW,2017-02-12,9,18
NSW,2017-02-13,16,3
NSW,2017-02-14,6,21
NSW,2017-02-15,19,4
NSW,2017-02-16,16,1
NSW,2017-02-17,6,21
NSW,2017-02-18,16,5
NSW,2017-02-19,17,21
NSW,2017-02-20,19,1
NSW,2017-02-21,6,1
NSW,2017-02-22,15,3
NSW,2017-02-23,16,1
NSW,2017-02-24,10,1
NSW,2017-02-25,11,23
NSW,2017-02-26,18,3
NSW,2017-02-27,10,2
NSW,2017-02-28,12,1
NSW,2017-03-01,15,3
NSW,2017-03-02,13,1
NSW,2017-03-03,16,2
NSW,2017-03-04,10,2
NSW,2017-03-05,17,5
NSW,2017-03-06,12,2
NSW,2017-03-07,16,2
NSW,2017-03-08,18,3
NSW,2017-03-09,6,2
NSW,2017-03-10,6,2
NSW,2017-03-11,18,3
NSW,2017-03-12,17,5
NSW,2017-03-13,18,3
NSW,2017-03-14,9,2
NSW,2017-03-15,18,1
NSW,2017-03-16,16,2
NSW,2017-03-17,6,1
NSW,2017-03-18,17,4
NSW,2017-03-19,17,4
NSW,2017-03-20,13,3
NSW,2017-03-21,8,1
NSW,2017-03-22,14,21
NSW,2017-03-23,8,3
NSW,2017-03-24,6,2
NSW,2017-03-25,16,4
NSW,2017-03-26,16,22
NSW,2017-03-27,6,1
NSW,2017-03-28,6,1
NSW,2017-03-29,18,0
NSW,2017-03-30,6,20
NSW,2017-03-31,18,7
NSW,2017-04-01,18,2
NSW,2017-04-02,18,4
NSW,2017-04-03,7,2
NSW,2017-04-04,18,3
NSW,2017-04-05,6,4
NSW,2017-04-06,6,3
NSW,2017-04-07,6,3
NSW,2017-04-08,9,3
NSW,2017-04-09,17,4
NSW,2017-04-10,6,3
NSW,2017-04-11,18,3
NSW,2017-04-12,6,3
NSW,2017-04-13,6,19
NSW,2017-04-14,18,14
NSW,2017-04-15,9,1
NSW,2017-04-16,23,6
NSW,2017-04-17,17,5
NSW,2017-04-18,6,3
NSW,2017-04-19,6,3
NSW,2017-04-20,6,3
NSW,2017-04-21,22,0
NSW,2017-04-22,18,4
NSW,2017-04-23,17,13
NSW,2017-04-24,18,5
NSW,2017-04-25,17,6
NSW,2017-04-26,18,2
NSW,2017-04-27,18,0
NSW,2017-04-28,6,11
NSW,2017-04-29,17,3
NSW,2017-04-30,17,14
NSW,2017-05-01,18,4
NSW,2017-05-02,17,4
NSW,2017-05-03,6,21
NSW,2017-05-04,18,23
NSW,2017-05-05,7,21
NSW,2017-05-06,7,3
NSW,2017-05-07,18,14
NSW,2017-05-08,18,1
NSW,2017-05-09,7,21
NSW,2017-05-10,6,0
